Date,Open,High,Low,Close,Volume,Adj Close
2016-03-31,768.340027,769.080017,758.25,762.900024,1627700,762.900024
2016-04-01,757.159973,770.039978,755.200012,769.669983,1583700,769.669983
2016-04-04,769.51001,772.440002,761.789978,765.119995,1346200,765.119995
2016-04-05,758.130005,762.869995,755.599976,758.570007,1223900,758.570007
2016-04-06,757.840027,768.419983,756.299988,768.070007,1265600,768.070007
2016-04-07,765.320007,769.359985,757.5,760.119995,1274900,760.119995
2016-04-08,765.869995,767.130005,755.77002,759.469971,1171700,759.469971
2016-04-11,765.450012,767.219971,757.340027,757.539978,1588700,757.539978
2016-04-12,758.429993,764.919983,751.570007,764.320007,1369400,764.320007
2016-04-13,770.309998,775.75,764.590027,771.909973,1771300,771.909973
2016-04-14,775.359985,779.609985,773.219971,775.390015,1349600,775.390015
2016-04-15,775.5,780.929993,774.929993,780.0,1585600,780.0
2016-04-18,780.190002,788.549988,777.609985,787.679993,1669700,787.679993
2016-04-19,790.5,790.950012,770.27002,776.25,2197600,776.25
2016-04-20,779.159973,779.659973,771.27002,774.919983,1713100,774.919983
2016-04-21,777.309998,781.679993,771.549988,780.0,3881400,780.0
2016-04-22,743.909973,753.919983,730.369995,737.77002,7039900,737.77002
2016-04-25,735.349976,744.880005,735.099976,742.210022,2472100,742.210022
2016-04-26,744.419983,745.590027,720.320007,725.369995,2793200,725.369995
2016-04-27,725.320007,727.150024,709.080017,721.460022,3313100,721.460022
2016-04-28,723.289978,729.26001,703.200012,705.059998,3129500,705.059998
2016-04-29,704.119995,712.109985,703.780029,707.880005,2913900,707.880005
2016-05-02,711.919983,715.409973,706.359985,714.409973,1673800,714.409973
2016-05-03,712.5,713.369995,707.330017,708.440002,1931000,708.440002
2016-05-04,706.77002,715.049988,704.049988,711.369995,1708600,711.369995
2016-05-05,715.0,717.549988,709.450012,714.710022,1483400,714.710022
2016-05-06,712.200012,725.98999,711.950012,725.179993,1982500,725.179993
2016-05-09,726.700012,734.289978,723.5,729.130005,1903700,729.130005
2016-05-10,734.960022,740.0,731.609985,739.380005,1631700,739.380005
